"Lake","Latitude","Longitude","Lake area","Perimeter","Shoreline development index","Max depth","Watershed area","Total stream length","Lake connection"
"Alder",46.0897,-89.8223,107,4605,1.26,10.1,1084,3456,"DrainageLake"
"Allequash",46.0391,-89.6188,164,9423,2.07,8,1430,3879,"DrainageLake"
"Ballard",46.0629,-89.5006,203,8994,1.78,7.6,230,0,"DrainageLake"
"BigMuskellunge",46.0161,-89.6071,363,16141,2.39,21.3,556,1,"Headwater"
"BigStGermain",45.9347,-89.5178,656,12994,1.43,12.8,4669,14184,"DrainageLake"
"BlackOak",46.1627,-89.3153,228,12299,2.3,25.9,337,315,"Drainage"
"CircleLily",46.1594,-89.9165,88,6556,1.97,10.7,2317,845,"Drainage"
"Clear",46.1486,-89.811,208,7869,1.54,13.7,806,622,"Drainage"
"Crystal",46.0022,-89.6112,37,2262,1.04,20.4,572,0,"Isolated"
"Day",46.0651,-89.7102,44,5439,2.3,14.6,306,0,"Isolated"
"Diamond",46.0424,-89.7164,46,3505,1.45,12.2,120,0,"Isolated"
"Dog",45.8666,-89.537,15,1732,1.27,NA,67,0,"DrainageLake"
"Escanaba",46.0613,-89.5878,123,8135,2.07,8,515,1355,"Drainage"
"Island",46.1146,-89.7901,350,19988,3.01,10.7,4057,10286,"DrainageLake"
"Jag",46.083,-89.7197,65,4935,1.72,4.3,552,0,"Isolated"
"Laura",46.0551,-89.4402,254,8239,1.46,13.1,547,0,"Isolated"
"LittleArborVitae",45.9125,-89.6203,194,7895,1.6,9.8,783,736,"DrainageLake"
"LittleStar",46.1157,-89.8583,105,6289,1.73,20.4,193,0,"Headwater"
"LittleStGermain",45.9279,-89.4457,393,22961,3.27,NA,1507,3956,"DrainageLake"
"Lost",45.964,-89.4844,218,7537,1.44,6.1,903,3951,"DrainageLake"
"Manitowish",46.1068,-89.8422,201,13566,2.7,18.6,987,1319,"DrainageLake"
"Nebish",46.0502,-89.5888,38,4295,1.97,15.8,291,0,"Isolated"
"Pallette",46.0665,-89.6044,73,4058,1.34,19.8,59,0,"Isolated"
"Palmer",46.1943,-89.4962,261,10618,1.86,4,2454,21957,"DrainageLake"
"Rainbow",46.2435,-89.8472,60,5569,2.03,11,440,956,"DrainageLake"
"Rest",46.1452,-89.8809,265,14283,2.47,16.2,2290,8075,"DrainageLake"
"Sparkling",46.0077,-89.7003,64,3777,1.34,20,237,881,"Drainage"
"Spider",46.1239,-89.8287,113,9574,2.55,13.1,497,0,"DrainageLake"
"Stormy",46.0512,-89.3182,212,7595,1.47,19.2,144,0,"Isolated"
"Tenderfoot",46.2192,-89.5297,183,10184,2.12,10.1,600,250,"DrainageLake"
"Tomahawk",45.8265,-89.6515,1401,49801,3.75,25.6,2506,1858,"DrainageLake"
"Trout",46.0308,-89.6636,1564,32448,2.31,35.7,3980,9623,"DrainageLake"
"Vandercook",45.9811,-89.6858,39,3257,1.46,10.1,217,0,"Isolated"
"VanVilet",46.1958,-89.7553,93,8522,2.49,31.4,1290,1813,"DrainageLake"
"WhiteSand",46.0894,-89.5878,302,9881,1.6,21.6,710,1667,"DrainageLake"
"WildRice",46.0653,-89.7989,155,6036,1.37,7.9,3566,9523,"DrainageLake"
