"lakes","Freq","DOC_AVG","TotalNF_AVG","TotalNUF_AVG","TotalPF_AVG","TotalPUF_AVG","NH4_AVG","NO3NO2_AVG","SRP_AVG","Cl_AVG"
"AlderLake","1",5.37,236.666666666667,298.666666666667,9.66666666666667,11.6666666666667,17,5.66666666666667,2.66666666666667,2.66333333333333
"AllequashLake","4",4.605,254.5,331.125,6.625,12.375,6.5,1.625,1.625,0.345
"AverillLake","1",5.67,355,580,9,27,3,3,NA,1.6
"BallardLake","1",5.385,385.25,561.75,66,16.5,13.75,1.75,3.5,0.3125
"BallardLakeTomorrow","1",5.37,388,491,73,20,22,2,2,0.32
"BigMuskellungeLake","3",3.88375,276.125,358.625,21.75,32.875,8.25,2.375,1.125,0.405
"BigStGermainLake","3",3.78714285714286,216.571428571429,298,9.28571428571429,34.3333333333333,9.14285714285714,8.71428571428571,3.71428571428571,4
"BlackOakLake","2",3.81666666666667,282,383,3,35.6666666666667,7.33333333333333,0.666666666666667,0.666666666666667,0.366666666666667
"CircleLilyLake","1",15.8875,522.75,613.25,16,21,13.75,3.75,7.5,0.8575
"ClearLake","1",3.32,253.333333333333,297.666666666667,7.66666666666667,17.3333333333333,7.66666666666667,6,1.66666666666667,2.27666666666667
"CrystalLake","1",2.16,209,271.666666666667,8.66666666666667,10,9.66666666666667,3,1.66666666666667,0.503333333333333
"DayLake","1",4.485,237.5,355,0.5,7,20,1,1,0.235
"DiamondLake","3",2.54,179.75,265.25,11.5,9.5,5.75,0.25,1,0.57
"DogLake","2",5.40166666666667,336.333333333333,607,47.5,30.6666666666667,27.1666666666667,11,4.66666666666667,4.085
"HelenLake","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IslandLake","1",6.4025,284.25,422.75,6.25,18.5,8.5,8,1.5,1.025
"JagLake","1",4.49333333333333,295.333333333333,435.666666666667,36.3333333333333,13.6666666666667,6.66666666666667,1.33333333333333,1,0.443333333333333
"LakeEscanaba","2",7.215,320.25,305.75,23,23.5,6.5,1.5,4.25,0.4875
"LakeNebish","2",3.88,241,296.666666666667,17.3333333333333,19.3333333333333,6,1,2,0.2
"LakeTomahawk","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LauraLake","1",3.37666666666667,230.333333333333,363.333333333333,61.3333333333333,13.3333333333333,7,1,1.33333333333333,0.326666666666667
"LittleArborVitaeLake","4",3.959,317.454545454545,573.727272727273,27.8181818181818,51.8181818181818,44.8181818181818,4.90909090909091,6.18181818181818,4.31181818181818
"LittleStarLake","1",3.6,209.333333333333,278.666666666667,8.66666666666667,9,7,8,1.66666666666667,3.64
"LittleStGermainLake","1",5.0875,361,474.5,16.75,26.75,8.5,2.5,8.5,1.805
"LostLake","1",4.695,224.5,293.25,22.25,27.75,8.5,2,5.5,2.31
"ManitowishLake","1",4.9925,302.25,295.75,17.5,12.75,9.25,6.75,2.5,2.58
"MidgeLake","1",6.61,339.666666666667,457.333333333333,1.33333333333333,4.66666666666667,7,1.33333333333333,1,22
"NewmanLake","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PalletteLake","1",4.91333333333333,345,359.333333333333,17,18.3333333333333,7,1.33333333333333,2,0.24
"PalmerLake","2",7.99666666666667,353,775,14.6666666666667,18.6666666666667,22,4.66666666666667,4,0.493333333333333
"PapooseLake","1",6.67,347.333333333333,406.333333333333,8.33333333333333,8.33333333333333,2,1.33333333333333,0,1.71666666666667
"PaulLake48Hours","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PaulLakeEWI","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PeterLake48Hours","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PeterLakeEWI","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PresqueIsleLake","1",4.09,222.666666666667,181,8.33333333333333,10.6666666666667,39,8.66666666666667,1,1.57
"RainbowLake","2",13.94,491,583.333333333333,3.33333333333333,9.66666666666667,23,1.33333333333333,2.66666666666667,0.773333333333333
"RestLake","1",5.6725,250,300,6,13.5,5,6.25,1,1.7825
"RoundLake","1",5.58,262,386.666666666667,5.33333333333333,12,7.33333333333333,5.66666666666667,1.66666666666667,0.873333333333333
"SparklingLake","4",3.23666666666667,159.333333333333,181.666666666667,20,18.3333333333333,10,3.66666666666667,2.66666666666667,10.6866666666667
"SparklingLake48Hours","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SpiderLake","2",5.248,263.4,334.6,8.2,15.6,5.5,4.25,1.75,1.624
"StormyLake","1",3.93333333333333,261,475.333333333333,5,9,18,2,1.5,0.676666666666667
"TenderfootCreek","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TenderfootLake","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TroutBog","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TroutLake","1",2.9275,161.75,192.75,28.75,33.25,6,1.25,1.25,2.1425
"TuesdayLakeEWI","16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"VandercookLake","2",3.59428571428571,248.714285714286,314,11.7142857142857,18,13.3333333333333,0.857142857142857,2.57142857142857,0.398571428571429
"VanViletLake","1",5.25333333333333,368.333333333333,590.333333333333,9.33333333333333,36.3333333333333,25.6666666666667,11,NA,1.76
"WhiteSandLake","1",3.18,167,201.666666666667,13,18,9,2,1.66666666666667,0.903333333333333
"WildRiceLake","1",5.04333333333333,244.333333333333,332,13,13.6666666666667,7,11.6666666666667,2.66666666666667,2.81333333333333
